CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15001,126,11,9,2.0,22.0,225.326202392578,7.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,126,11,10,2.0,2.0,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,1
15001,163,11,1,1.0,31.0,225.326202392578,10.0,1,1,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,1
15001,163,11,2,2.0,30.0,225.326202392578,10.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,1
15003,10,11,1,1.0,60.0,69.4570999145508,6.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,1
15003,10,11,2,2.0,53.0,69.4570999145508,4.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,1
15003,10,11,3,1.0,20.0,69.4570999145508,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,1
15003,24,11,1,2.0,55.0,69.4570999145508,3.0,0,0,1.0,1.0,0.0,0,0,1.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,1
15003,24,11,2,1.0,21.0,69.4570999145508,7.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,1
15003,24,11,3,1.0,17.0,69.4570999145508,6.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,1
15003,24,11,4,1.0,15.0,69.4570999145508,5.0,0,0,0.0,0.0,0.0,0,0,1.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,1
15003,54,11,1,1.0,55.0,69.4570999145508,10.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,1
15003,54,11,2,2.0,54.0,69.4570999145508,8.0,1,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,1
15003,54,11,3,2.0,26.0,69.4570999145508,11.0,0,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,1
15003,54,11,4,1.0,22.0,69.4570999145508,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,1
15003,83,11,1,1.0,64.0,69.4570999145508,8.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,1
15003,83,11,2,2.0,57.0,69.4570999145508,4.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,1
15003,83,11,3,1.0,36.0,69.4570999145508,9.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,1
15003,83,11,4,1.0,9.0,69.4570999145508,3.0,0,0,,,,0,0,,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,1
15003,99,11,1,2.0,67.0,69.4570999145508,1.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.208333333333,1
15003,99,11,2,2.0,37.0,69.4570999145508,6.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.208333333333,1
15003,99,11,3,2.0,12.0,69.4570999145508,3.0,0,0,,,,0,0,,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.208333333333,1
15003,128,11,1,1.0,42.0,69.4570999145508,11.0,1,0,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,104910.28125,36880.2109375,2,3,52455.140625,1
15003,128,11,2,1.0,37.0,69.4570999145508,9.0,1,1,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,104910.28125,36880.2109375,2,3,52455.140625,1
15003,156,11,1,1.0,29.0,69.4570999145508,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,49572.796875,40652.04296875,2,3,24786.3984375,1
15003,156,11,2,2.0,24.0,69.4570999145508,8.0,0,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,49572.796875,40652.04296875,2,3,24786.3984375,1
15004,12,11,1,2.0,57.0,84.0562210083008,6.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,0,1,19590.0234375,12847.8955078125,1,3,19590.0234375,1
15004,27,11,1,1.0,63.0,84.0562210083008,5.0,0,0,1.0,1.0,1.0,0,1,1.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,1
15004,27,11,2,2.0,60.0,84.0562210083008,4.0,1,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,1
15004,27,11,3,2.0,29.0,84.0562210083008,10.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,1
15004,27,11,4,1.0,0.0,84.0562210083008,,0,0,,,,0,0,,10101,4,4,0,1,18168.9609375,21254.390625,2,3,9084.48046875,1
15004,42,11,1,2.0,49.0,84.0562210083008,5.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,1
15004,42,11,2,1.0,28.0,84.0562210083008,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,1
15004,42,11,3,2.0,24.0,84.0562210083008,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,53241.875,31593.697265625,3,3,17747.291666666668,1
15004,58,11,1,2.0,44.0,84.0562210083008,6.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,1
15004,58,11,2,2.0,11.0,84.0562210083008,3.0,0,0,,,,0,0,,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,1
15004,58,11,3,1.0,3.0,84.0562210083008,1.0,0,0,,,,0,0,,10101,4,4,0,0,16122.435546875,28206.40234375,3,3,5374.145182291667,1
15004,105,11,1,2.0,61.0,84.0562210083008,6.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,15662.5615234375,23768.3515625,1,3,15662.5615234375,1
15004,134,11,1,2.0,66.0,84.0562210083008,8.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,1
15004,134,11,2,2.0,41.0,84.0562210083008,6.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,1
15004,134,11,3,2.0,19.0,84.0562210083008,6.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,1
15004,134,11,4,1.0,10.0,84.0562210083008,3.0,0,0,,,,0,0,,10101,4,4,1,1,21997.6171875,30199.162109375,4,3,5499.404296875,1
15004,161,11,1,2.0,69.0,84.0562210083008,5.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,1,10568.7939453125,8328.72265625,1,3,10568.7939453125,1
15005,2,11,1,1.0,65.0,79.8167572021484,6.0,1,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,31306.654296875,15915.5986328125,1,3,31306.654296875,1
15005,24,11,1,1.0,61.0,79.8167572021484,8.0,1,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,2,2.0,59.0,79.8167572021484,6.0,1,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,3,2.0,33.0,79.8167572021484,11.0,1,1,0.0,0.0,0.0,1,0,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,4,2.0,15.0,79.8167572021484,5.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,5,2.0,29.0,79.8167572021484,11.0,1,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,6,2.0,11.0,79.8167572021484,3.0,0,0,,,,0,0,,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,7,2.0,92.0,79.8167572021484,3.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
15005,24,11,8,2.0,69.0,79.8167572021484,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,93405.0859375,61794.1484375,8,3,11675.6357421875,1
